year, Python, HTML, CSS, R, Go, JavaScript, C++, TypeScript, Ruby, Scala, Julia, Java, Haskell, C, C++, C#, C, Swift, SQL, PHP, Perl, Kotlin, Rust, Scheme, Erlang
2010,16512,959,670,260,392,20726,9010,18,28432,1319,1,12906,1429,9010,9010,9010,9010,15,1,12680,5200,5,12,370,775
2011,36719,2990,2261,812,1185,53167,19421,63,59614,3070,3,40509,2940,19421,19421,19421,19421,31,3,32042,8106,21,144,445,1324
2012,69498,7745,7876,2361,3906,132054,35816,192,102565,5505,154,94817,4792,35816,35816,35816,35816,62,11,64780,10047,91,189,819,2019
2013,124477,17774,67436,5890,11844,266083,63247,1302,163123,9448,520,187838,6730,63247,63247,63247,63247,186,54,110605,12583,184,633,1316,2978
2014,202054,84782,178629,42369,26163,434220,92348,3705,193273,13314,1298,345988,9982,92348,92348,92348,92348,14742,396,162960,48154,403,3124,1709,2882
2015,329097,390060,205588,57956,45539,675809,145249,6606,224592,20486,2779,659454,12609,145249,145249,145249,145249,56989,0,247901,15577,1768,8125,1394,3478
2016,491768,709111,316443,57977,64007,1080277,176536,46416,231083,26685,2875,997073,13138,176536,176536,176536,176536,109012,0,306675,13693,6266,12656,1585,3077
2017,784842,1108626,395007,70618,91854,1585816,215491,174764,249659,29932,3099,1372997,14695,214947,215491,215491,215491,138751,1,411995,14380,28317,19834,1738,3025
2018,1141018,1480686,473445,88295,132216,2152482,262161,316854,244454,29351,6989,1709830,14780,262161,262161,262161,262161,158101,35,463971,11534,77937,30233,1735,2539
2019,1326811,2032313,538236,83521,150904,2423430,269450,404082,262655,24456,10268,1773195,13216,269451,269451,269451,269451,157478,50,463708,9351,124705,41472,1593,1991
